model,round_index,round_type,threshold,quant_bits,mode,cpu_threads,original_mb,cuda_layers,cpu_fallback_layers,cuda_original_mb,fallback_original_mb,compress_total_ms,decompress_total_ms,roundtrip_total_ms,cpu_safe_grouped_compress_ms,cpu_safe_grouped_decompress_ms,cpu_safe_grouped_roundtrip_ms,speedup_vs_cpu_safe_grouped,roundtrip_speedup_vs_cpu_safe_grouped,kernel_ms,payload_d2h_ms,payload_serialize_ms,payload_deserialize_ms,cpu_fallback_ms,fallback_gpu_to_cpu_ms,experimental_payload_d2h_mb,final_payload_bytes,cpu_safe_grouped_payload_bytes,compression_ratio,cpu_safe_grouped_compression_ratio,ratio_retention,max_abs_error,relative_l2_error,cosine_similarity,sign_agreement,finite_rate,decode_status,correctness_status,classification
resnet18,0,round0,262144,8,gpu_v2_experimental,8,42.661865,8,93,39.375000,3.286865,70.651827,39.587139,110.238967,326.189547,309.231847,635.421393,4.616859,5.764036,1.169994,5.739463,6.461694,8.126357,35.860307,4.535946,9.843750,11424417,11635857,3.915667,3.844513,1.018508,0.000211338,0.011095471,1.000000000,0.985323191,1.000000000,pass,pass,strong_success
resnet18,1,hot,262144,8,gpu_v2_experimental,8,42.661865,8,93,39.375000,3.286865,76.382945,45.579704,121.962650,385.222535,388.814791,774.037326,5.043306,6.346511,1.126742,5.605983,6.587363,8.634942,41.039891,4.566635,9.843750,11432196,11723976,3.913002,3.815618,1.025523,0.008458793,0.019640194,1.000000000,0.993461847,1.000000000,pass,pass,strong_success
resnet18,2,hot,262144,8,gpu_v2_experimental,8,42.661865,8,93,39.375000,3.286865,76.123024,44.526788,120.649813,356.514608,373.984613,730.499220,4.683400,6.054707,1.127655,5.614757,5.603419,8.944305,42.253837,4.717597,9.843750,11436518,11771247,3.911523,3.800295,1.029268,0.006449129,0.025147133,1.000000000,0.992072761,1.000000000,pass,pass,strong_success
resnet18,0,round0,262144,4,gpu_v2_experimental,8,42.661865,8,93,39.375000,3.286865,81.092118,49.346535,130.438654,326.189547,309.231847,635.421393,4.022457,4.871419,1.154998,13.802175,2.748503,16.881849,35.671636,4.556039,4.921875,6263457,11635857,7.142095,3.844513,1.857737,0.003834258,0.199746072,0.980695724,0.740792096,1.000000000,pass,fail,stop_correctness_failed
resnet18,1,hot,262144,4,gpu_v2_experimental,8,42.661865,8,93,39.375000,3.286865,88.938676,55.139595,144.078271,385.222535,388.814791,774.037326,4.331328,5.372339,1.168012,13.973907,3.941656,17.320467,40.965424,4.626187,4.921875,6271236,11723976,7.133236,3.815618,1.869484,0.009607933,0.355368078,0.942536592,0.835491002,1.000000000,pass,fail,stop_correctness_failed
resnet18,2,hot,262144,4,gpu_v2_experimental,8,42.661865,8,93,39.375000,3.286865,85.251170,54.044996,139.296167,356.514608,373.984613,730.499220,4.181932,5.244216,1.152515,13.745180,2.752600,17.387642,39.504823,4.582127,4.921875,6275558,11771247,7.128324,3.800295,1.875729,0.014850896,0.455520123,0.910166502,0.845945120,1.000000000,pass,fail,stop_correctness_failed
resnet18,0,round0,524288,8,gpu_v2_experimental,8,42.661865,7,94,38.250000,4.411865,77.624026,48.004542,125.628568,326.189547,309.231847,635.421393,4.202173,5.057937,1.033892,5.392300,6.466605,8.280543,43.307075,4.933812,9.562500,11443375,11635857,3.909180,3.844513,1.016820,0.000211338,0.010994529,1.000000000,0.985661328,1.000000000,pass,pass,strong_success
resnet18,1,hot,524288,8,gpu_v2_experimental,8,42.661865,7,94,38.250000,4.411865,82.308023,55.489015,137.797038,385.222535,388.814791,774.037326,4.680255,5.617228,1.015452,5.580090,4.790329,8.384942,49.635613,4.945849,9.562500,11451529,11723976,3.906396,3.815618,1.023791,0.008458793,0.019434430,1.000000000,0.993572891,1.000000000,pass,pass,strong_success
resnet18,2,hot,524288,8,gpu_v2_experimental,8,42.661865,7,94,38.250000,4.411865,82.834230,53.817234,136.651464,356.514608,373.984613,730.499220,4.303953,5.345711,1.054156,5.325671,5.734114,8.475954,48.298025,5.051628,9.562500,11458631,11771247,3.903975,3.800295,1.027282,0.006449129,0.024871517,1.000000000,0.992231071,1.000000000,pass,pass,strong_success
resnet18,0,round0,524288,4,gpu_v2_experimental,8,42.661865,7,94,38.250000,4.411865,92.906054,56.584172,149.490226,326.189547,309.231847,635.421393,3.510961,4.250588,1.617319,13.439233,4.351971,16.589631,44.007821,5.017246,4.781250,6429871,11635857,6.957248,3.844513,1.809656,0.003834258,0.197351158,0.981110990,0.747588336,1.000000000,pass,fail,stop_correctness_failed
resnet18,1,hot,524288,4,gpu_v2_experimental,8,42.661865,7,94,38.250000,4.411865,95.188225,64.503619,159.691844,385.222535,388.814791,774.037326,4.046956,4.847069,1.040121,13.354898,2.896409,16.735839,50.309950,5.021320,4.781250,6438025,11723976,6.948437,3.815618,1.821052,0.009607933,0.351305455,0.943733394,0.839610517,1.000000000,pass,fail,stop_correctness_failed
resnet18,2,hot,524288,4,gpu_v2_experimental,8,42.661865,7,94,38.250000,4.411865,94.513899,64.584514,159.098413,356.514608,373.984613,730.499220,3.772087,4.591493,1.054034,13.528311,2.983102,16.656427,48.854695,5.121433,4.781250,6445127,11771247,6.940780,3.800295,1.826379,0.014850896,0.450267404,0.911988676,0.849987984,1.000000000,pass,fail,stop_correctness_failed
resnet18,0,round0,1048576,8,gpu_v2_experimental,8,42.661865,4,97,31.500000,11.161865,122.364513,95.409894,217.774407,326.189547,309.231847,635.421393,2.665720,2.917796,0.697776,4.391707,6.453208,7.085552,88.894523,6.795244,7.875000,11505911,11635857,3.887933,3.844513,1.011294,0.000211338,0.010265918,1.000000000,0.987824917,1.000000000,pass,pass,strong_success
resnet18,1,hot,1048576,8,gpu_v2_experimental,8,42.661865,4,97,31.500000,11.161865,138.596323,115.435160,254.031483,385.222535,388.814791,774.037326,2.779457,3.047013,0.685840,3.735122,5.662597,7.668488,105.799516,7.049360,7.875000,11536507,11723976,3.877622,3.815618,1.016250,0.008458793,0.018016459,1.000000000,0.994304478,1.000000000,pass,pass,strong_success
resnet18,2,hot,1048576,8,gpu_v2_experimental,8,42.661865,4,97,31.500000,11.161865,130.608269,112.515709,243.123978,356.514608,373.984613,730.499220,2.729648,3.004637,0.684785,4.211705,4.559401,7.387485,98.986935,6.922079,7.875000,11544159,11771247,3.875051,3.800295,1.019671,0.006449129,0.022993546,1.000000000,0.993194103,1.000000000,pass,pass,strong_success
resnet18,0,round0,1048576,4,gpu_v2_experimental,8,42.661865,4,97,31.500000,11.161865,137.431766,105.077786,242.509552,326.189547,309.231847,635.421393,2.373465,2.620191,0.714364,10.960798,4.976621,13.927474,92.363245,6.815083,3.937500,7377143,11635857,6.063893,3.844513,1.577285,0.003834258,0.179671898,0.984181702,0.791190863,1.000000000,pass,fail,stop_correctness_failed
resnet18,1,hot,1048576,4,gpu_v2_experimental,8,42.661865,4,97,31.500000,11.161865,147.997294,122.705019,270.702313,385.222535,388.814791,774.037326,2.602903,2.859367,0.695703,10.879535,3.322315,13.403442,105.846114,6.906674,3.937500,7407739,11723976,6.038848,3.815618,1.582666,0.009607933,0.323074847,0.951798141,0.865529060,1.000000000,pass,fail,stop_correctness_failed
resnet18,2,hot,1048576,4,gpu_v2_experimental,8,42.661865,4,97,31.500000,11.161865,149.088258,119.305146,268.393404,356.514608,373.984613,730.499220,2.391299,2.721748,0.721662,10.958503,4.746771,13.675612,103.472587,7.117983,3.937500,7415391,11771247,6.032616,3.800295,1.587407,0.014850896,0.414260834,0.924135327,0.874463916,1.000000000,pass,fail,stop_correctness_failed
